Adjusted Potential (V),Adjusted Relative Capacity (mAh/g),Frequency (Hz),Zre (ohms),Zim (ohms),Type,Cycle
2.2,130.75,25.12,300.59,-52.59,0,6
2.2,130.75,19.95,307.42,-55.55,0,6
2.2,130.75,15.85,314.03,-59.2,0,6
2.2,130.75,12.59,321.74,-62.85,0,6
2.2,130.75,10.0,327.82,-67.96,0,6
2.2,130.75,7.94,336.73,-73.7,0,6
2.2,130.75,6.31,344.65,-83.25,0,6
2.2,130.75,5.01,351.31,-92.32,0,6
2.2,130.75,3.98,360.68,-101.06,0,6
2.2,130.75,3.16,370.98,-116.55,0,6
2.2,130.75,2.51,384.29,-130.07,0,6
2.2,130.75,2.0,399.32,-149.17,0,6
2.2,130.75,1.58,414.77,-173.6,0,6
2.2,130.75,1.26,430.13,-202.83,0,6
2.2,130.75,1.0,447.01,-236.05,0,6
2.2,130.75,0.79,466.36,-273.95,0,6
2.2,130.75,0.63,489.96,-318.32,0,6
2.2,130.75,0.5,517.81,-369.93,0,6
2.2,130.75,0.4,552.54,-430.97,0,6
2.2,130.75,0.32,595.19,-502.79,0,6
2.2,130.75,0.25,649.29,-587.87,0,6
2.2,130.75,0.2,715.45,-688.42,0,6
2.2,130.75,0.16,799.25,-806.72,0,6
2.2,130.75,0.13,903.98,-944.79,0,6
2.2,130.75,0.1,1035.28,-1104.15,0,6
2.0,132.55,100000.0,204.21,21.06,0,6
2.0,132.55,79432.82,205.48,15.37,0,6
2.0,132.55,63095.74,206.41,10.79,0,6
2.0,132.55,50118.72,207.73,6.72,0,6
2.0,132.55,39810.72,208.9,3.48,0,6
2.0,132.55,31622.78,210.07,0.86,0,6
2.0,132.55,25118.86,211.24,-1.3,0,6
2.0,132.55,19952.62,212.37,-3.1,0,6
2.0,132.55,15848.93,213.56,-4.64,0,6
2.0,132.55,12589.25,214.8,-5.89,0,6
2.0,132.55,10000.0,216.16,-7.24,0,6
2.0,132.55,7943.28,217.46,-8.2,0,6
2.0,132.55,6309.57,219.01,-9.27,0,6
2.0,132.55,5011.87,220.49,-10.13,0,6
2.0,132.55,3981.07,222.0,-11.26,0,6
2.0,132.55,3162.28,223.66,-12.26,0,6
2.0,132.55,2511.89,225.19,-13.44,0,6
2.0,132.55,1995.26,227.0,-14.68,0,6
2.0,132.55,1584.89,228.96,-16.03,0,6
2.0,132.55,1258.93,230.88,-17.49,0,6
2.0,132.55,1000.0,233.09,-19.38,0,6
2.0,132.55,794.33,235.55,-21.27,0,6
2.0,132.55,630.96,238.16,-23.55,0,6
2.0,132.55,501.19,241.06,-26.09,0,6
2.0,132.55,398.11,244.36,-29.13,0,6
2.0,132.55,316.23,248.03,-32.35,0,6
2.0,132.55,251.19,252.15,-36.05,0,6
2.0,132.55,199.53,256.89,-40.05,0,6
2.0,132.55,158.49,262.3,-44.46,0,6
2.0,132.55,125.89,268.45,-49.35,0,6
2.0,132.55,100.0,275.32,-54.37,0,6
2.0,132.55,79.43,282.53,-59.49,0,6
2.0,132.55,63.1,291.17,-64.99,0,6
2.0,132.55,50.12,299.68,-70.77,0,6
2.0,132.55,39.81,308.94,-77.58,0,6
2.0,132.55,31.62,318.3,-85.16,0,6
2.0,132.55,25.12,330.03,-91.83,0,6
2.0,132.55,19.95,339.31,-101.14,0,6
2.0,132.55,15.85,350.77,-113.96,0,6
2.0,132.55,12.59,361.99,-124.8,0,6
2.0,132.55,10.0,375.03,-141.37,0,6
2.0,132.55,7.94,392.75,-159.13,0,6
2.0,132.55,6.31,406.46,-184.19,0,6
2.0,132.55,5.01,421.44,-208.05,0,6
2.0,132.55,3.98,443.44,-235.71,0,6
2.0,132.55,3.16,472.64,-274.06,0,6
2.0,132.55,2.51,500.88,-322.1,0,6
2.0,132.55,2.0,530.81,-375.66,0,6
2.0,132.55,1.58,566.11,-434.55,0,6
2.0,132.55,1.26,609.74,-501.42,0,6
2.0,132.55,1.0,668.64,-580.35,0,6
2.0,132.55,0.79,738.59,-667.98,0,6
2.0,132.55,0.63,827.17,-769.39,0,6
2.0,132.55,0.5,936.81,-883.84,0,6
2.0,132.55,0.4,1069.74,-1010.49,0,6
2.0,132.55,0.32,1233.82,-1149.61,0,6
2.0,132.55,0.25,1430.85,-1300.53,0,6
2.0,132.55,0.2,1669.36,-1459.78,0,6
2.0,132.55,0.16,1950.25,-1631.54,0,6
2.0,132.55,0.13,2286.54,-1804.87,0,6
2.0,132.55,0.1,2680.78,-1983.73,0,6
2.18,0.0,100000.0,204.35,21.5,0,7
2.18,0.0,79432.82,205.59,15.24,0,7
2.18,0.0,63095.74,207.0,10.03,0,7
2.18,0.0,50118.72,207.91,6.49,0,7
2.18,0.0,39810.72,209.06,3.46,0,7
2.18,0.0,31622.78,210.06,0.99,0,7
2.18,0.0,25118.86,211.27,-1.13,0,7
2.18,0.0,19952.62,212.53,-2.89,0,7
2.18,0.0,15848.93,213.74,-4.43,0,7
2.18,0.0,12589.25,215.08,-5.62,0,7
2.18,0.0,10000.0,216.37,-6.67,0,7
2.18,0.0,7943.28,217.64,-7.69,0,7
2.18,0.0,6309.57,219.0,-8.56,0,7
2.18,0.0,5011.87,220.42,-9.37,0,7
2.18,0.0,3981.07,221.89,-10.06,0,7
2.18,0.0,3162.28,223.37,-11.04,0,7
2.18,0.0,2511.89,224.89,-11.98,0,7
2.18,0.0,1995.26,226.5,-12.84,0,7
2.18,0.0,1584.89,228.29,-13.94,0,7
2.18,0.0,1258.93,230.12,-15.12,0,7
2.18,0.0,1000.0,231.97,-16.54,0,7
2.18,0.0,794.33,234.21,-18.11,0,7
2.18,0.0,630.96,236.44,-19.77,0,7
2.18,0.0,501.19,238.97,-21.75,0,7
2.18,0.0,398.11,241.88,-24.01,0,7
2.18,0.0,316.23,245.29,-26.38,0,7
2.18,0.0,251.19,248.71,-29.02,0,7
2.18,0.0,199.53,252.92,-32.28,0,7
2.18,0.0,158.49,257.56,-35.5,0,7
2.18,0.0,125.89,262.89,-38.4,0,7
2.18,0.0,100.0,268.55,-41.76,0,7
2.18,0.0,79.43,274.74,-45.04,0,7
2.18,0.0,63.1,282.75,-48.12,0,7
2.18,0.0,50.12,288.85,-51.28,0,7
2.18,0.0,39.81,296.3,-54.59,0,7
2.18,0.0,31.62,304.51,-56.44,0,7
2.18,0.0,25.12,312.32,-61.16,0,7
2.18,0.0,19.95,319.8,-64.06,0,7
2.18,0.0,15.85,327.11,-67.85,0,7
2.18,0.0,12.59,337.49,-74.01,0,7
2.18,0.0,10.0,343.96,-82.19,0,7
2.18,0.0,7.94,352.82,-87.98,0,7
2.18,0.0,6.31,364.22,-97.26,0,7
2.18,0.0,5.01,373.72,-108.2,0,7
2.18,0.0,3.98,386.13,-119.63,0,7
2.18,0.0,3.16,400.86,-133.08,0,7
2.18,0.0,2.51,419.63,-152.55,0,7
2.18,0.0,2.0,440.35,-176.64,0,7
2.18,0.0,1.58,461.45,-206.13,0,7
2.18,0.0,1.26,483.15,-242.88,0,7
2.18,0.0,1.0,506.24,-283.63,0,7
2.18,0.0,0.79,533.58,-330.98,0,7
2.18,0.0,0.63,565.02,-387.01,0,7
2.18,0.0,0.5,602.8,-453.45,0,7
2.18,0.0,0.4,647.78,-533.37,0,7
2.18,0.0,0.32,702.46,-629.02,0,7
2.18,0.0,0.25,768.2,-745.52,0,7
2.18,0.0,0.2,850.14,-886.75,0,7
2.18,0.0,0.16,951.26,-1057.61,0,7
2.18,0.0,0.13,1074.66,-1263.94,0,7
2.18,0.0,0.1,1233.08,-1512.14,0,7
2.39,0.02,100000.0,204.13,21.44,1,7
2.39,0.02,79432.82,205.56,15.33,1,7
2.39,0.02,63095.74,206.58,10.88,1,7
2.39,0.02,50118.72,208.11,6.79,1,7
2.39,0.02,39810.72,209.04,3.88,1,7
2.39,0.02,31622.78,210.1,1.3,1,7
2.39,0.02,25118.86,211.27,-0.79,1,7
2.39,0.02,19952.62,212.44,-2.43,1,7
2.39,0.02,15848.93,213.55,-3.84,1,7
2.39,0.02,12589.25,214.74,-4.99,1,7
2.39,0.02,10000.0,215.92,-6.02,1,7
2.39,0.02,7943.28,217.21,-6.85,1,7
2.39,0.02,6309.57,218.58,-7.54,1,7
2.39,0.02,5011.87,219.82,-8.26,1,7
2.39,0.02,3981.07,220.98,-8.96,1,7
2.39,0.02,3162.28,222.43,-9.65,1,7
2.39,0.02,2511.89,223.8,-10.44,1,7
2.39,0.02,1995.26,225.24,-11.29,1,7
2.39,0.02,1584.89,226.8,-12.09,1,7
2.39,0.02,1258.93,228.43,-13.13,1,7
2.39,0.02,1000.0,230.16,-14.14,1,7
2.39,0.02,794.33,231.91,-15.45,1,7
2.39,0.02,630.96,233.96,-16.89,1,7
2.39,0.02,501.19,236.18,-18.51,1,7
2.39,0.02,398.11,238.63,-20.27,1,7
2.39,0.02,316.23,241.45,-22.32,1,7
2.39,0.02,251.19,244.49,-24.56,1,7
2.39,0.02,199.53,247.99,-26.8,1,7
2.39,0.02,158.49,252.07,-29.18,1,7
2.39,0.02,125.89,257.06,-31.97,1,7
2.39,0.02,100.0,261.97,-34.19,1,7
2.39,0.02,79.43,267.32,-36.06,1,7
2.39,0.02,63.1,273.3,-37.67,1,7
2.39,0.02,50.12,279.51,-39.28,1,7
2.39,0.02,39.81,285.54,-40.54,1,7
2.39,0.02,31.62,291.59,-41.65,1,7
2.39,0.02,25.12,297.12,-42.49,1,7
2.39,0.02,19.95,302.54,-45.04,1,7
2.39,0.02,15.85,308.28,-46.06,1,7
2.39,0.02,12.59,313.85,-48.99,1,7
2.39,0.02,10.0,319.82,-51.65,1,7
2.39,0.02,7.94,326.48,-57.24,1,7
2.39,0.02,6.31,331.11,-63.09,1,7
2.39,0.02,5.01,337.18,-67.81,1,7
2.39,0.02,3.98,345.62,-74.68,1,7
2.39,0.02,3.16,353.98,-84.53,1,7
2.39,0.02,2.51,362.26,-95.07,1,7
2.39,0.02,2.0,372.15,-106.42,1,7
2.39,0.02,1.58,384.51,-119.87,1,7
2.39,0.02,1.26,400.47,-137.52,1,7
2.39,0.02,1.0,418.61,-159.02,0,7
2.39,0.02,0.79,439.19,-185.68,0,7
2.39,0.02,0.63,462.34,-219.2,0,7
2.39,0.02,0.5,488.57,-259.62,0,7
2.39,0.02,0.4,517.84,-310.52,0,7
2.39,0.02,0.32,551.27,-373.48,0,7
2.39,0.02,0.25,589.97,-450.02,0,7
2.39,0.02,0.2,634.99,-544.08,0,7
2.39,0.02,0.16,687.9,-659.97,0,7
2.39,0.02,0.13,751.15,-802.49,0,7
2.39,0.02,0.1,828.7,-975.39,0,7
2.6,0.11,100000.0,204.35,21.44,1,7
2.6,0.11,79432.82,205.66,15.37,1,7
2.6,0.11,63095.74,207.09,10.95,1,7
2.6,0.11,50118.72,207.51,6.55,1,7
2.6,0.11,39810.72,208.87,4.12,1,7
2.6,0.11,31622.78,209.95,1.56,1,7
2.6,0.11,25118.86,211.0,-0.43,1,7
2.6,0.11,19952.62,212.08,-2.13,1,7
2.6,0.11,15848.93,213.11,-3.51,1,7
2.6,0.11,12589.25,214.24,-4.64,1,7
2.6,0.11,10000.0,215.45,-5.56,1,7
2.6,0.11,7943.28,216.63,-6.52,1,7
2.6,0.11,6309.57,217.81,-7.13,1,7
2.6,0.11,5011.87,218.97,-7.94,1,7
2.6,0.11,3981.07,220.34,-8.57,1,7
2.6,0.11,3162.28,221.64,-9.39,1,7
2.6,0.11,2511.89,223.02,-10.17,1,7
2.6,0.11,1995.26,224.42,-10.94,1,7
2.6,0.11,1584.89,225.94,-11.88,1,7
2.6,0.11,1258.93,227.45,-12.75,1,7
2.6,0.11,1000.0,229.21,-13.93,1,7
2.6,0.11,794.33,231.03,-15.0,1,7
2.6,0.11,630.96,233.05,-16.39,1,7
2.6,0.11,501.19,235.14,-17.95,1,7
2.6,0.11,398.11,237.55,-19.69,1,7
2.6,0.11,316.23,240.22,-21.56,1,7
2.6,0.11,251.19,243.31,-23.65,1,7
2.6,0.11,199.53,246.71,-25.72,1,7
2.6,0.11,158.49,250.55,-28.31,1,7
2.6,0.11,125.89,255.14,-30.5,1,7
2.6,0.11,100.0,259.98,-32.36,1,7
2.6,0.11,79.43,265.22,-34.24,1,7
2.6,0.11,63.1,270.83,-35.81,1,7
2.6,0.11,50.12,276.53,-36.99,1,7
2.6,0.11,39.81,282.18,-38.23,1,7
2.6,0.11,31.62,287.37,-39.19,1,7
2.6,0.11,25.12,293.07,-40.23,1,7
2.6,0.11,19.95,298.54,-41.65,1,7
2.6,0.11,15.85,302.77,-44.13,1,7
2.6,0.11,12.59,308.47,-46.31,1,7
2.6,0.11,10.0,313.35,-50.72,1,7
2.6,0.11,7.94,318.19,-53.93,1,7
2.6,0.11,6.31,324.41,-59.79,1,7
2.6,0.11,5.01,331.31,-64.99,1,7
2.6,0.11,3.98,340.42,-73.44,1,7
2.6,0.11,3.16,349.48,-84.3,1,7
2.6,0.11,2.51,358.13,-98.86,1,7
2.6,0.11,2.0,366.23,-114.41,1,7
2.6,0.11,1.58,376.36,-131.73,1,7
2.6,0.11,1.26,387.47,-150.62,1,7
2.6,0.11,1.0,401.79,-172.93,1,7
2.6,0.11,0.79,419.05,-199.64,1,7
2.6,0.11,0.63,439.53,-232.04,1,7
2.6,0.11,0.5,463.74,-272.21,1,7
2.6,0.11,0.4,492.28,-321.79,1,7
2.6,0.11,0.32,526.1,-381.92,1,7
2.6,0.11,0.25,565.79,-456.7,0,7
2.6,0.11,0.2,613.11,-548.72,0,7
2.6,0.11,0.16,670.52,-662.73,0,7
2.6,0.11,0.13,739.76,-803.59,0,7
2.6,0.11,0.1,824.83,-976.79,0,7
2.8,0.2,100000.0,204.37,21.38,1,7
2.8,0.2,79432.82,205.5,15.66,1,7
2.8,0.2,63095.74,206.6,11.2,1,7
2.8,0.2,50118.72,207.92,7.04,1,7
2.8,0.2,39810.72,208.64,4.37,1,7
2.8,0.2,31622.78,209.8,1.88,1,7
2.8,0.2,25118.86,210.77,-0.17,1,7
2.8,0.2,19952.62,211.85,-1.8,1,7
2.8,0.2,15848.93,212.93,-3.13,1,7
2.8,0.2,12589.25,213.98,-4.3,1,7
2.8,0.2,10000.0,215.1,-5.26,1,7
2.8,0.2,7943.28,216.22,-6.09,1,7
2.8,0.2,6309.57,217.33,-6.97,1,7
2.8,0.2,5011.87,218.55,-7.58,1,7
2.8,0.2,3981.07,219.83,-8.33,1,7
2.8,0.2,3162.28,220.99,-9.1,1,7
2.8,0.2,2511.89,222.34,-9.92,1,7
2.8,0.2,1995.26,223.78,-10.69,1,7
2.8,0.2,1584.89,225.19,-11.46,1,7
2.8,0.2,1258.93,226.75,-12.43,1,7
2.8,0.2,1000.0,228.48,-13.48,1,7
2.8,0.2,794.33,230.15,-14.66,1,7
2.8,0.2,630.96,232.08,-15.94,1,7
2.8,0.2,501.19,234.12,-17.39,1,7
2.8,0.2,398.11,236.51,-19.09,1,7
2.8,0.2,316.23,239.18,-20.8,1,7
2.8,0.2,251.19,242.04,-22.85,1,7
2.8,0.2,199.53,245.63,-25.05,1,7
2.8,0.2,158.49,249.07,-27.15,1,7
2.8,0.2,125.89,253.75,-29.25,1,7
2.8,0.2,100.0,258.45,-31.13,1,7
2.8,0.2,79.43,263.62,-32.63,1,7
2.8,0.2,63.1,269.13,-34.0,1,7
2.8,0.2,50.12,274.24,-35.01,1,7
2.8,0.2,39.81,279.5,-36.1,1,7
2.8,0.2,31.62,284.5,-36.65,1,7
2.8,0.2,25.12,289.71,-37.76,1,7
2.8,0.2,19.95,294.72,-39.17,1,7
2.8,0.2,15.85,298.53,-41.12,1,7
2.8,0.2,12.59,303.29,-43.05,1,7
2.8,0.2,10.0,307.75,-46.72,1,7
2.8,0.2,7.94,312.83,-50.33,1,7
2.8,0.2,6.31,318.01,-55.78,1,7
2.8,0.2,5.01,325.03,-61.91,1,7
2.8,0.2,3.98,332.8,-71.66,1,7
2.8,0.2,3.16,340.2,-83.11,1,7
2.8,0.2,2.51,346.84,-97.39,1,7
2.8,0.2,2.0,354.11,-112.39,1,7
2.8,0.2,1.58,362.94,-128.95,1,7
2.8,0.2,1.26,374.13,-148.59,1,7
2.8,0.2,1.0,388.15,-171.65,1,7
2.8,0.2,0.79,405.24,-200.5,1,7
2.8,0.2,0.63,425.03,-236.46,1,7
2.8,0.2,0.5,448.35,-280.79,1,7
2.8,0.2,0.4,475.64,-336.16,1,7
2.8,0.2,0.32,507.62,-404.67,1,7
2.8,0.2,0.25,544.68,-490.91,1,7
2.8,0.2,0.2,588.96,-597.96,1,7
2.8,0.2,0.16,642.28,-732.64,1,7
2.8,0.2,0.13,707.0,-900.03,0,7
2.8,0.2,0.1,787.61,-1109.83,0,7
2.99,0.27,100000.0,204.14,21.76,1,7
2.99,0.27,79432.82,205.38,15.97,1,7
2.99,0.27,63095.74,206.62,11.34,1,7
2.99,0.27,50118.72,207.95,6.94,1,7
2.99,0.27,39810.72,208.52,4.4,1,7
2.99,0.27,31622.78,209.73,2.09,1,7
2.99,0.27,25118.86,210.64,0.16,1,7
2.99,0.27,19952.62,211.82,-1.59,1,7
2.99,0.27,15848.93,212.75,-2.84,1,7
2.99,0.27,12589.25,213.75,-3.98,1,7
2.99,0.27,10000.0,214.83,-5.03,1,7
2.99,0.27,7943.28,215.88,-5.88,1,7
2.99,0.27,6309.57,216.96,-6.66,1,7
2.99,0.27,5011.87,218.13,-7.45,1,7
2.99,0.27,3981.07,219.33,-8.2,1,7
2.99,0.27,3162.28,220.56,-8.82,1,7
2.99,0.27,2511.89,221.79,-9.5,1,7
2.99,0.27,1995.26,223.27,-10.39,1,7
2.99,0.27,1584.89,224.72,-11.26,1,7
2.99,0.27,1258.93,226.12,-12.13,1,7
2.99,0.27,1000.0,227.9,-13.14,1,7
2.99,0.27,794.33,229.55,-14.3,1,7
2.99,0.27,630.96,231.42,-15.64,1,7
2.99,0.27,501.19,233.56,-17.06,1,7
2.99,0.27,398.11,235.79,-18.82,1,7
2.99,0.27,316.23,238.42,-20.55,1,7
2.99,0.27,251.19,241.43,-22.38,1,7
2.99,0.27,199.53,244.77,-24.63,1,7
2.99,0.27,158.49,248.47,-26.71,1,7
2.99,0.27,125.89,252.69,-28.45,1,7
2.99,0.27,100.0,257.62,-30.42,1,7
2.99,0.27,79.43,262.55,-32.16,1,7
2.99,0.27,63.1,267.8,-33.25,1,7
2.99,0.27,50.12,272.92,-34.32,1,7
2.99,0.27,39.81,278.03,-35.24,1,7
2.99,0.27,31.62,282.81,-35.75,1,7
2.99,0.27,25.12,287.65,-36.93,1,7
2.99,0.27,19.95,292.42,-38.31,1,7
2.99,0.27,15.85,295.96,-40.16,1,7
2.99,0.27,12.59,300.71,-42.42,1,7
2.99,0.27,10.0,304.7,-46.42,1,7
2.99,0.27,7.94,309.57,-50.16,1,7
2.99,0.27,6.31,314.4,-56.1,1,7
2.99,0.27,5.01,321.41,-62.56,1,7
2.99,0.27,3.98,328.61,-72.91,1,7
2.99,0.27,3.16,333.84,-86.22,1,7
2.99,0.27,2.51,339.11,-98.16,1,7
2.99,0.27,2.0,347.23,-112.03,1,7
2.99,0.27,1.58,357.82,-128.56,1,7
2.99,0.27,1.26,370.96,-149.64,1,7
2.99,0.27,1.0,386.25,-175.59,1,7
2.99,0.27,0.79,403.54,-207.69,1,7
2.99,0.27,0.63,422.53,-247.11,1,7
2.99,0.27,0.5,443.58,-295.77,1,7
2.99,0.27,0.4,467.6,-354.86,1,7
2.99,0.27,0.32,494.66,-427.85,1,7
2.99,0.27,0.25,526.8,-517.38,1,7
2.99,0.27,0.2,565.0,-627.95,1,7
2.99,0.27,0.16,612.0,-765.8,1,7
2.99,0.27,0.13,670.95,-935.68,1,7
2.99,0.27,0.1,745.56,-1148.43,1,7
3.09,0.31,100000.0,204.18,21.8,1,7
3.09,0.31,79432.82,205.52,15.83,1,7
3.09,0.31,63095.74,206.54,11.58,1,7
3.09,0.31,50118.72,207.68,7.95,1,7
3.09,0.31,39810.72,208.73,4.76,1,7
3.09,0.31,31622.78,209.58,2.1,1,7
3.09,0.31,25118.86,210.5,0.17,1,7
3.09,0.31,19952.62,211.57,-1.39,1,7
3.09,0.31,15848.93,212.51,-2.81,1,7
3.09,0.31,12589.25,213.51,-3.86,1,7
3.09,0.31,10000.0,214.59,-4.74,1,7
3.09,0.31,7943.28,215.67,-5.71,1,7
3.09,0.31,6309.57,216.68,-6.44,1,7
3.09,0.31,5011.87,217.84,-7.26,1,7
3.09,0.31,3981.07,219.01,-7.89,1,7
3.09,0.31,3162.28,220.2,-8.55,1,7
3.09,0.31,2511.89,221.47,-9.3,1,7
3.09,0.31,1995.26,222.85,-10.15,1,7
3.09,0.31,1584.89,224.28,-10.83,1,7
3.09,0.31,1258.93,225.64,-11.72,1,7
3.09,0.31,1000.0,227.28,-12.75,1,7
3.09,0.31,794.33,228.96,-13.69,1,7
3.09,0.31,630.96,230.72,-14.86,1,7
3.09,0.31,501.19,232.77,-16.29,1,7
3.09,0.31,398.11,235.04,-17.71,1,7
3.09,0.31,316.23,237.47,-19.39,1,7
3.09,0.31,251.19,240.36,-21.17,1,7
3.09,0.31,199.53,243.57,-23.06,1,7
3.09,0.31,158.49,247.33,-24.78,1,7
3.09,0.31,125.89,251.3,-26.55,1,7
3.09,0.31,100.0,255.94,-28.13,1,7
3.09,0.31,79.43,260.65,-29.21,1,7
3.09,0.31,63.1,265.75,-29.54,1,7
3.09,0.31,50.12,270.58,-30.13,1,7
3.09,0.31,39.81,275.28,-30.04,1,7
3.09,0.31,31.62,280.15,-29.87,1,7
3.09,0.31,25.12,283.86,-29.69,1,7
3.09,0.31,19.95,287.77,-30.17,1,7
3.09,0.31,15.85,291.17,-30.22,1,7
3.09,0.31,12.59,294.77,-30.93,1,7
3.09,0.31,10.0,298.16,-33.2,1,7
3.09,0.31,7.94,300.68,-34.68,1,7
3.09,0.31,6.31,304.44,-37.32,1,7
3.09,0.31,5.01,308.07,-41.69,1,7
3.09,0.31,3.98,311.56,-46.14,1,7
3.09,0.31,3.16,316.26,-51.36,1,7
3.09,0.31,2.51,321.76,-58.71,1,7
3.09,0.31,2.0,327.09,-67.54,1,7
3.09,0.31,1.58,332.91,-78.05,1,7
3.09,0.31,1.26,339.22,-90.1,1,7
3.09,0.31,1.0,347.07,-104.24,1,7
3.09,0.31,0.79,355.84,-120.44,1,7
3.09,0.31,0.63,366.44,-139.41,1,7
3.09,0.31,0.5,378.97,-161.82,1,7
3.09,0.31,0.4,394.32,-188.93,1,7
3.09,0.31,0.32,412.44,-220.96,1,7
3.09,0.31,0.25,434.08,-258.76,1,7
3.09,0.31,0.2,460.12,-304.5,1,7
3.09,0.31,0.16,491.5,-358.64,1,7
3.09,0.31,0.13,529.78,-422.69,1,7
3.09,0.31,0.1,575.36,-497.07,1,7
3.2,12.78,100000.0,204.17,21.89,1,7
3.2,12.78,79432.82,205.63,15.96,1,7
3.2,12.78,63095.74,206.84,11.62,1,7
3.2,12.78,50118.72,207.75,7.79,1,7
3.2,12.78,39810.72,208.74,4.81,1,7
3.2,12.78,31622.78,209.54,2.29,1,7
3.2,12.78,25118.86,210.55,0.31,1,7
3.2,12.78,19952.62,211.52,-1.18,1,7
3.2,12.78,15848.93,212.45,-2.58,1,7
3.2,12.78,12589.25,213.46,-3.74,1,7
3.2,12.78,10000.0,214.51,-4.75,1,7
3.2,12.78,7943.28,215.59,-5.5,1,7
3.2,12.78,6309.57,216.68,-6.23,1,7
3.2,12.78,5011.87,217.69,-6.94,1,7
3.2,12.78,3981.07,218.87,-7.6,1,7
3.2,12.78,3162.28,220.07,-8.28,1,7
3.2,12.78,2511.89,221.32,-9.01,1,7
3.2,12.78,1995.26,222.61,-9.75,1,7
3.2,12.78,1584.89,224.06,-10.3,1,7
3.2,12.78,1258.93,225.34,-11.19,1,7
3.2,12.78,1000.0,226.92,-12.15,1,7
3.2,12.78,794.33,228.65,-13.15,1,7
3.2,12.78,630.96,230.39,-14.18,1,7
3.2,12.78,501.19,232.29,-15.3,1,7
3.2,12.78,398.11,234.61,-16.83,1,7
3.2,12.78,316.23,237.02,-18.11,1,7
3.2,12.78,251.19,239.85,-19.64,1,7
3.2,12.78,199.53,242.92,-21.08,1,7
3.2,12.78,158.49,246.77,-22.47,1,7
3.2,12.78,125.89,250.77,-23.61,1,7
3.2,12.78,100.0,254.83,-24.25,1,7
3.2,12.78,79.43,259.1,-24.26,1,7
3.2,12.78,63.1,263.59,-24.21,1,7
3.2,12.78,50.12,267.62,-23.47,1,7
3.2,12.78,39.81,271.37,-22.58,1,7
3.2,12.78,31.62,274.66,-21.62,1,7
3.2,12.78,25.12,277.69,-20.45,1,7
3.2,12.78,19.95,280.19,-19.78,1,7
3.2,12.78,15.85,282.79,-19.41,1,7
3.2,12.78,12.59,284.82,-19.05,1,7
3.2,12.78,10.0,287.35,-19.08,1,7
3.2,12.78,7.94,289.36,-19.51,1,7
3.2,12.78,6.31,291.66,-19.64,1,7
3.2,12.78,5.01,294.46,-20.53,1,7
3.2,12.78,3.98,297.18,-21.84,1,7
3.2,12.78,3.16,299.77,-23.27,1,7
3.2,12.78,2.51,302.59,-24.74,1,7
3.2,12.78,2.0,305.6,-26.14,1,7
3.2,12.78,1.58,309.0,-27.59,1,7
3.2,12.78,1.26,312.84,-29.32,1,7
3.2,12.78,1.0,317.1,-31.13,1,7
3.2,12.78,0.79,321.8,-33.1,1,7
3.2,12.78,0.63,326.77,-35.11,1,7
3.2,12.78,0.5,332.06,-37.22,1,7
3.2,12.78,0.4,337.6,-39.51,1,7
3.2,12.78,0.32,343.51,-41.64,1,7
3.2,12.78,0.25,349.91,-43.74,1,7
3.2,12.78,0.2,356.27,-45.54,1,7
3.2,12.78,0.16,363.13,-47.5,1,7
3.2,12.78,0.13,370.17,-48.79,1,7
3.2,12.78,0.1,377.46,-50.27,1,7
3.3,40.63,100000.0,203.33,22.11,1,7
3.3,40.63,79432.82,204.48,16.27,1,7
3.3,40.63,63095.74,205.75,12.1,1,7
3.3,40.63,50118.72,206.66,8.3,1,7
3.3,40.63,39810.72,207.32,5.1,1,7
3.3,40.63,31622.78,208.25,2.75,1,7
3.3,40.63,25118.86,209.04,0.73,1,7
3.3,40.63,19952.62,210.09,-0.87,1,7
3.3,40.63,15848.93,210.93,-2.17,1,7
3.3,40.63,12589.25,211.85,-3.29,1,7
3.3,40.63,10000.0,212.77,-4.2,1,7
3.3,40.63,7943.28,213.77,-4.95,1,7
3.3,40.63,6309.57,214.8,-5.83,1,7
3.3,40.63,5011.87,215.86,-6.38,1,7
3.3,40.63,3981.07,216.87,-7.08,1,7
3.3,40.63,3162.28,217.93,-7.68,1,7
3.3,40.63,2511.89,219.06,-8.3,1,7
3.3,40.63,1995.26,220.34,-9.03,1,7
3.3,40.63,1584.89,221.59,-9.74,1,7
3.3,40.63,1258.93,222.94,-10.61,1,7
3.3,40.63,1000.0,224.4,-11.39,1,7
3.3,40.63,794.33,226.04,-12.36,1,7
3.3,40.63,630.96,227.61,-13.48,1,7
3.3,40.63,501.19,229.5,-14.63,1,7
3.3,40.63,398.11,231.56,-15.91,1,7
3.3,40.63,316.23,234.0,-17.36,1,7
3.3,40.63,251.19,236.68,-18.8,1,7
3.3,40.63,199.53,239.54,-20.34,1,7
3.3,40.63,158.49,243.16,-21.32,1,7
3.3,40.63,125.89,247.06,-22.47,1,7
3.3,40.63,100.0,251.21,-23.21,1,7
3.3,40.63,79.43,255.2,-23.33,1,7
3.3,40.63,63.1,259.54,-22.98,1,7
3.3,40.63,50.12,263.21,-22.34,1,7
3.3,40.63,39.81,266.68,-21.5,1,7
3.3,40.63,31.62,269.81,-20.52,1,7
3.3,40.63,25.12,272.66,-19.55,1,7
3.3,40.63,19.95,275.03,-18.95,1,7
